City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Hithadhoo,MV,81.91,overcast clouds,-0.6,73.0833,Scoop Guest House
6,Hobart,AU,75.27,clear sky,-42.8794,147.3294,Mantra on Collins Hobart
18,Faanui,PF,80.89,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
19,Rikitea,PF,77.85,overcast clouds,-23.1203,-134.9692,People ThankYou
23,Samarai,PG,85.12,overcast clouds,-10.6167,150.6667,Nuli Sapi
28,Macaiba,BR,76.03,scattered clouds,-5.8583,-35.3539,Francis Pousada
32,Sao Joao Da Barra,BR,75.54,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
33,Carnarvon,AU,85.39,clear sky,-24.8667,113.6333,Hospitality Carnarvon
43,Atuona,PF,79.07,scattered clouds,-9.8,-139.0333,Villa Enata
52,San Policarpo,PH,79.7,overcast clouds,12.1791,125.5072,Agapita M. Nicart
63,Saint-Georges,GD,76.39,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
65,Talisayan,PH,82.33,overcast clouds,6.9872,121.9272,Mar y Monte Resort
78,Ambulu,ID,78.66,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
84,Matara,LK,84.06,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
86,Mayumba,GA,76.57,overcast clouds,-3.432,10.6554,LIKWALE LODGE
89,Grand Gaube,MU,85.37,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
91,Dubti,ET,77.7,light rain,11.7361,41.0853,degu Shiferaw
94,Saint-Philippe,RE,85.55,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
95,Banda Aceh,ID,83.41,scattered clouds,5.5577,95.3222,Sulthan Hotel International
96,Morondava,MG,80.8,light rain,-20.2833,44.2833,La Case Bambou
99,Mahebourg,MU,85.24,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
100,Vaini,TO,81.86,clear sky,-21.2,-175.2,Keleti Beach Resort
104,Lorengau,PG,77.02,moderate rain,-2.0226,147.2712,Lorengau Harbourside Hotel
106,Cidreira,BR,75.67,clear sky,-30.1811,-50.2056,Hotel Castelo
107,Cockburn Town,TC,77.95,clear sky,21.4612,-71.1419,Osprey Beach Hotel
108,Belmonte,BR,75.7,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
119,Touros,BR,76.1,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
123,Imbituba,BR,81.82,few clouds,-28.24,-48.6703,Praia Hotel Imbituba
127,Cairns,AU,88.11,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
128,Vila Velha,BR,75.15,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
139,Butaritari,KI,82.36,light rain,3.0707,172.7902,Isles Sunset Lodge
140,Hambantota,LK,84.54,clear sky,6.1241,81.1185,Bungalow 63
141,Isangel,VU,82.6,scattered clouds,-19.55,169.2667,Tanna Lodge
146,Pangkalanbuun,ID,77.85,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
147,Porbandar,IN,77.54,clear sky,21.6422,69.6093,Lords Inn Porbandar
148,Puerto Escondido,MX,75.47,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
152,Myitkyina,MM,75.69,scattered clouds,25.3833,97.4,Shwe Phyu Hotel
155,Lakatoro,VU,84.83,scattered clouds,-16.0999,167.4164,Lakatoro Palm Lodge
158,Bandarbeyla,SO,78.48,overcast clouds,9.4942,50.8122,JABIR HOTEL
160,Vao,NC,77.31,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
163,Port Lincoln,AU,79.09,scattered clouds,-34.7333,135.8667,Port Lincoln Hotel
168,Batticaloa,LK,80.22,overcast clouds,7.7102,81.6924,Grand Star Guest House
171,Japura,ID,86.16,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
172,Mareeba,AU,83.48,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
173,Saint-Joseph,RE,84.56,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
174,Porto Velho,BR,77.05,clear sky,-8.7619,-63.9039,Hotel Central
182,Port Elizabeth,ZA,75.09,few clouds,-33.918,25.5701,39 On Nile Guest House
192,Arraial Do Cabo,BR,75.42,clear sky,-22.9661,-42.0278,Pousada Porto Praia
204,Dhanera,IN,75.47,clear sky,24.5167,72.0167,Paresh joja
205,Mlimba,TZ,76.39,overcast clouds,-8.8,35.8167,California Lodge
207,Finschhafen,PG,81.0,moderate rain,-6.6024,147.8681,Cossam Guest House
210,Vaitape,PF,80.85,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
211,Tual,ID,82.53,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
212,Antalaha,MG,81.9,light rain,-14.9003,50.2788,Hotel Vitasoa
213,Cotonou,BJ,76.59,scattered clouds,6.3654,2.4183,Novotel Cotonou Orisha
217,Axim,GH,76.1,scattered clouds,4.8699,-2.2405,Axim Beach Resort And Spa
222,San Andres,CO,80.62,few clouds,12.5847,-81.7006,Hotel Arena Blanca
223,Mamallapuram,IN,84.25,few clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
235,Avarua,CK,77.05,overcast clouds,-21.2078,-159.775,Paradise Inn
237,Cape Coast,GH,77.52,broken clouds,5.1053,-1.2466,Samrit Hotel
246,Xuddur,SO,78.73,clear sky,4.1213,43.8894,Banjanay Hotel
257,Broken Hill,AU,81.14,overcast clouds,-31.95,141.4333,Royal Exchange Hotel
258,Silvassa,IN,82.35,clear sky,20.2667,73.0167,Wonderland Resort
266,Ko Samui,TH,80.82,scattered clouds,9.5357,99.9357,The Passage
273,Bambous Virieux,MU,84.22,light rain,-20.3428,57.7575,Casa Tia Villa
275,Mana,GF,75.51,overcast clouds,5.6592,-53.7767,LE SAMANA
277,Gizo,SB,82.76,moderate rain,-8.103,156.8419,Imagination Island
285,Georgetown,MY,89.53,few clouds,5.4112,100.3354,Cititel Penang
288,Manado,ID,86.77,scattered clouds,1.487,124.8455,Aryaduta Hotel
293,Tamandare,BR,78.26,scattered clouds,-8.7597,-35.1047,Pousada 100 Passos
295,Dingle,PH,85.64,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
297,Mount Gambier,AU,84.74,clear sky,-37.8333,140.7667,The Commodore
305,Mancora,PE,76.19,overcast clouds,-4.1078,-81.0475,Máncora Marina Hotel
307,Samaro,PK,78.78,clear sky,25.2815,69.3965,M AFZAL GOURNAL STOR SAMARO
311,Presidencia Roque Saenz Pena,AR,80.73,scattered clouds,-26.7852,-60.4388,Hotel Aconcagua
315,Souillac,MU,84.36,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
319,Ambunti,PG,77.67,overcast clouds,-4.2365,142.8448,AMBUNTI HIDE INN
329,Salalah,OM,78.89,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
332,Polewali,ID,80.19,overcast clouds,-3.4324,119.3435,Lilianto Hotel
