City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Upernavik,GL,72.7868,-56.1549,26.91,79,100,2.77,overcast clouds
Hermanus,ZA,-34.4187,19.2345,67.8,64,29,5.5,scattered clouds
Hithadhoo,MV,-0.6,73.0833,81.91,73,100,8.41,overcast clouds
New Norfolk,AU,-42.7826,147.0587,74.91,29,64,1.99,broken clouds
Mataura,NZ,-46.1927,168.8643,55.47,67,100,9.44,overcast clouds
Te Anau,NZ,-45.4167,167.7167,55.36,66,99,3.98,light rain
Hobart,AU,-42.8794,147.3294,75.27,50,0,13.8,clear sky
Carballo,ES,43.213,-8.691,46.76,80,13,2.86,few clouds
Tasiilaq,GL,65.6145,-37.6368,32.16,97,100,14.61,snow
Candido De Abreu,BR,-24.5669,-51.3333,67.08,95,0,1.61,clear sky
Punta Arenas,CL,-53.15,-70.9167,41.11,81,0,1.52,clear sky
Kahului,US,20.8947,-156.47,74.46,84,40,6.91,scattered clouds
Jamestown,US,42.097,-79.2353,24.39,59,100,11.01,overcast clouds
Chuy,UY,-33.6971,-53.4616,73.49,98,47,6.06,scattered clouds
Severo-Kurilsk,RU,50.6789,156.125,29.71,89,100,14.72,snow
Castro,BR,-24.7911,-50.0119,62.94,95,4,3.67,clear sky
San Cristobal,VE,7.7669,-72.225,65.75,77,55,2.59,broken clouds
Port Hardy,CA,50.6996,-127.4199,50.76,89,100,24.79,overcast clouds
Faanui,PF,-16.4833,-151.75,80.89,78,100,21.07,light rain
Rikitea,PF,-23.1203,-134.9692,77.85,78,100,17.38,overcast clouds
Kysyl-Syr,RU,63.8986,122.7617,-9.42,99,96,4.74,overcast clouds
Ushuaia,AR,-54.8,-68.3,44.08,81,11,4.88,few clouds
Kholmogory,RU,64.2229,41.656,28.51,95,100,10.96,snow
Samarai,PG,-10.6167,150.6667,85.12,72,92,19.48,overcast clouds
Iqaluit,CA,63.7506,-68.5145,-31.81,96,64,5.66,broken clouds
Lebu,CL,-37.6167,-73.65,51.67,87,3,3.33,clear sky
Torbay,CA,47.6666,-52.7314,28.58,76,25,5.99,scattered clouds
Tateyama,JP,34.9833,139.8667,49.01,56,28,18.97,scattered clouds
Macaiba,BR,-5.8583,-35.3539,76.03,94,40,3.44,scattered clouds
Tessalit,ML,20.1986,1.0114,53.15,33,1,10.92,clear sky
Goundam,ML,16.4145,-3.6708,58.89,20,0,9.42,clear sky
Busselton,AU,-33.65,115.3333,105.04,33,1,11.36,clear sky
Sao Joao Da Barra,BR,-21.6403,-41.0511,75.54,90,0,9.55,clear sky
Carnarvon,AU,-24.8667,113.6333,85.39,63,0,15.46,clear sky
Vostok,RU,46.4856,135.8833,-1.1,89,100,4.41,overcast clouds
Pangnirtung,CA,66.1451,-65.7125,-23.19,98,100,4.16,overcast clouds
Coquimbo,CL,-29.9533,-71.3436,63.91,70,0,5.03,clear sky
Khatanga,RU,71.9667,102.5,-15.21,100,99,5.95,overcast clouds
Los Llanos De Aridane,ES,28.6585,-17.9182,65.95,52,0,13.8,clear sky
Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,27.19,54,75,6.71,broken clouds
Cabra,ES,37.4725,-4.4421,39.9,82,0,3.4,clear sky
Thompson,CA,55.7435,-97.8558,-17.93,96,6,5.66,clear sky
Qaanaaq,GL,77.484,-69.3632,-9.31,61,2,9.01,clear sky
Atuona,PF,-9.8,-139.0333,79.07,75,25,21.39,scattered clouds
Ribeira Grande,PT,38.5167,-28.7,62.02,82,24,11.52,few clouds
Albany,US,42.6001,-73.9662,39.31,77,100,8.41,overcast clouds
Ixtapa,MX,20.7,-105.2,67.23,83,95,3.36,overcast clouds
Roma,US,43.2128,-75.4557,31.73,74,100,18.99,overcast clouds
Aberdeen,GB,57.1437,-2.0981,39.2,70,75,12.66,broken clouds
Maridi,SS,4.9158,29.4742,72.25,30,100,7.16,overcast clouds
Yellowknife,CA,62.456,-114.3525,-8.01,100,84,8.81,broken clouds
Leningradskiy,RU,69.3833,178.4167,-35.12,97,72,3.6,broken clouds
San Policarpo,PH,12.1791,125.5072,79.7,83,94,8.72,overcast clouds
Sawakin,SD,19.1059,37.3321,67.48,55,27,18.41,scattered clouds
Ancud,CL,-41.8697,-73.8203,47.73,87,4,4.47,clear sky
Mehamn,NO,71.0357,27.8492,30.38,77,81,14.61,light snow
Barrow,US,71.2906,-156.7887,-25.58,75,0,4.61,clear sky
Bardiyah,LY,31.7561,25.0865,50.22,72,57,2.84,broken clouds
Saldanha,ZA,-33.0117,17.9442,65.86,79,4,11.48,clear sky
Dikson,RU,73.5069,80.5464,-4.11,97,100,15.12,overcast clouds
Puerto Ayora,EC,-0.7393,-90.3518,72.45,93,62,6.4,broken clouds
Coihaique,CL,-45.5752,-72.0662,57.81,62,0,3.44,clear sky
Kapaa,US,22.0752,-159.319,73.38,72,20,3.44,few clouds
Saint-Georges,GD,12.0564,-61.7485,76.39,80,12,14.99,few clouds
Bethel,US,41.3712,-73.414,44.19,64,75,4.61,broken clouds
Talisayan,PH,6.9872,121.9272,82.33,78,88,1.63,overcast clouds
Lopukhiv,UA,48.3653,23.9638,20.91,97,99,6.29,light snow
Tenno,JP,39.9,139.9667,34.81,77,63,10.6,broken clouds
Bilma,NE,18.6853,12.9164,49.57,34,3,7.43,clear sky
Freeport,US,40.6576,-73.5832,46.36,62,100,3.0,overcast clouds
Tezu,IN,27.9167,96.1667,73.06,28,56,3.27,broken clouds
Cape Town,ZA,-33.9258,18.4232,67.12,80,0,0.0,clear sky
Ornskoldsvik,SE,63.2909,18.7153,29.35,59,0,20.71,clear sky
Airai,TL,-8.9266,125.4092,62.49,94,100,1.57,overcast clouds
Prokudskoye,RU,55.0089,82.4574,6.31,84,40,6.71,scattered clouds
Aykhal,RU,66.0,111.5,-8.43,100,96,11.23,overcast clouds
Guerrero Negro,MX,27.9769,-114.0611,60.6,87,56,7.85,broken clouds
Bluff,NZ,-46.6,168.3333,55.8,82,100,24.29,overcast clouds
Ambulu,ID,-8.345,113.6058,78.66,85,100,2.13,overcast clouds
Rawlins,US,41.7911,-107.2387,21.63,73,75,0.0,broken clouds
Sault Sainte Marie,CA,46.5168,-84.3333,0.16,55,75,5.75,broken clouds
Ilulissat,GL,69.2167,-51.1,41.02,60,100,16.11,overcast clouds
Hilo,US,19.7297,-155.09,71.33,93,100,9.22,moderate rain
Bluefield,US,37.2698,-81.2223,39.76,95,100,4.61,light rain
Matara,LK,5.9485,80.5353,84.06,62,100,2.66,overcast clouds
Rumilly,FR,45.8667,5.95,37.94,86,100,2.3,overcast clouds
Mayumba,GA,-3.432,10.6554,76.57,88,100,3.89,overcast clouds
Walvis Bay,NA,-22.9575,14.5053,69.1,88,100,5.7,overcast clouds
Hami,CN,42.8,93.45,33.42,30,0,5.59,clear sky
Grand Gaube,MU,-20.0064,57.6608,85.37,79,86,8.99,overcast clouds
Batagay,RU,67.6333,134.6333,-36.62,94,41,2.82,scattered clouds
Dubti,ET,11.7361,41.0853,77.7,64,71,9.19,light rain
Fortuna,US,40.5982,-124.1573,48.92,95,100,1.99,overcast clouds
Yumen,CN,40.2833,97.2,33.67,25,47,3.36,scattered clouds
Saint-Philippe,RE,-21.3585,55.7679,85.55,82,68,3.2,light rain
Banda Aceh,ID,5.5577,95.3222,83.41,66,42,4.05,scattered clouds
Morondava,MG,-20.2833,44.2833,80.8,74,95,8.5,light rain
Muskegon,US,43.3,-86.1334,19.26,73,100,9.22,overcast clouds
Teya,RU,60.3778,92.6267,13.35,90,100,6.24,overcast clouds
Mahebourg,MU,-20.4081,57.7,85.24,72,94,12.06,light rain
Vaini,TO,-21.2,-175.2,81.86,85,1,21.12,clear sky
Tucuman,AR,-26.8241,-65.2226,68.0,94,100,5.75,mist
Margate,GB,51.3813,1.3862,39.69,83,13,7.0,few clouds
Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,71.96,99,90,2.35,overcast clouds
Lorengau,PG,-2.0226,147.2712,77.02,89,100,15.82,moderate rain
Monrovia,LR,6.3005,-10.7969,73.17,89,16,5.35,few clouds
Cidreira,BR,-30.1811,-50.2056,75.67,95,1,13.38,clear sky
Cockburn Town,TC,21.4612,-71.1419,77.95,78,0,20.8,clear sky
Belmonte,BR,-15.8631,-38.8828,75.7,84,1,4.27,clear sky
Kruisfontein,ZA,-34.0033,24.7314,72.88,47,7,6.11,clear sky
Tiksi,RU,71.6872,128.8694,-7.47,91,88,11.07,overcast clouds
Huarmey,PE,-10.0681,-78.1522,72.81,80,98,7.99,overcast clouds
Nakamura,JP,32.9833,132.9333,46.72,45,54,10.02,broken clouds
Tarko-Sale,RU,64.9225,77.785,5.45,94,79,13.47,broken clouds
Olafsvik,IS,64.8945,-23.7142,41.67,93,100,20.2,light rain
Teguise,ES,29.0605,-13.564,62.82,52,100,18.41,overcast clouds
Mar Del Plata,AR,-38.0023,-57.5575,71.1,90,74,5.01,broken clouds
Escarcega,MX,18.6089,-90.7454,68.16,92,0,5.08,clear sky
Gat,IL,31.61,34.7642,44.4,100,67,3.27,broken clouds
Touros,BR,-5.1989,-35.4608,76.1,76,77,10.65,broken clouds
Barcelos,PT,41.5388,-8.6151,48.69,68,0,5.12,clear sky
Mindelo,CV,16.8901,-24.9804,70.05,71,80,9.93,broken clouds
Ballina,AU,-28.8667,153.5667,71.64,98,100,21.88,light rain
Imbituba,BR,-28.24,-48.6703,81.82,94,22,7.87,few clouds
Bani Walid,LY,31.7566,13.9942,46.83,73,3,5.93,clear sky
Kodiak,US,57.79,-152.4072,29.71,80,0,3.44,clear sky
Kalevala,RU,65.2,31.1667,30.43,98,100,6.26,light snow
Cairns,AU,-16.9167,145.7667,88.11,66,100,14.97,overcast clouds
Vila Velha,BR,-20.3297,-40.2925,75.15,94,20,3.44,few clouds
San Patricio,US,28.017,-97.5169,69.89,70,6,25.39,clear sky
Katsuura,JP,35.1333,140.3,49.1,52,9,18.43,clear sky
Norman Wells,CA,65.282,-126.8329,-16.28,96,100,6.76,overcast clouds
Christchurch,NZ,-43.5333,172.6333,66.4,52,75,1.99,broken clouds
Asopos,GR,36.7333,22.8667,44.62,79,29,5.03,scattered clouds
Puerto Leguizamo,CO,-0.1934,-74.7819,70.54,95,100,1.25,overcast clouds
Rivadavia,AR,-33.1905,-68.4608,67.57,64,1,8.34,clear sky
Tuktoyaktuk,CA,69.4541,-133.0374,-25.49,100,79,10.16,broken clouds
Saint George,US,37.1041,-113.5841,46.94,51,0,1.99,clear sky
Maniitsoq,GL,65.4167,-52.9,22.91,95,100,8.12,snow
Butaritari,KI,3.0707,172.7902,82.36,77,99,14.74,light rain
Hambantota,LK,6.1241,81.1185,84.54,74,0,3.44,clear sky
